A,B,t,y
0.0,1.0,0.0171,35.98200573265768
1.0,0.0,0.9064,28.97494585129197
1.0,0.0,0.3912,27.142838650418703
1.0,0.0,0.1957,29.134786895236402
0.0,1.0,0.9094,31.281644661674367
0.0,0.0,0.6418,19.304998451359424
0.0,0.0,0.4004,14.344102092755733
0.0,0.0,0.5337,17.503540934207493
0.0,0.0,0.7683,16.90535756555466
1.0,0.0,0.98,27.698304198717015
0.0,1.0,0.9592,30.976260089452
1.0,1.0,0.1973,56.036545954980966
1.0,1.0,0.2262,56.61647596084139
0.0,0.0,0.7454,17.84902769845322
0.0,0.0,0.8293,13.355150725125657
1.0,1.0,0.7012,51.37708647500635
0.0,0.0,0.9967,10.982472994757268
0.0,0.0,0.5689,17.983405570494426
0.0,0.0,0.7497,17.10133809426747
0.0,1.0,0.5144,37.05232043125911
1.0,0.0,0.6065,25.439572281812907
0.0,1.0,0.9007,31.775215008871314
1.0,0.0,0.6007,26.004643274125115
0.0,0.0,0.49,16.050291971919776
0.0,1.0,0.2557,34.55691577896979
0.0,0.0,0.1458,16.15090904180104
0.0,0.0,0.2591,14.708494878436134
1.0,0.0,0.2411,28.71628847282854
1.0,1.0,0.2399,58.596191097876996
0.0,0.0,0.0544,16.393191849832697
0.0,0.0,0.4257,15.109091446185277
1.0,0.0,0.0657,29.810702790509254
1.0,0.0,0.2104,29.002228163087867
1.0,1.0,0.4274,57.686912032275025
1.0,0.0,0.3879,27.184314560240594
0.0,1.0,0.1799,35.29593060658031
0.0,0.0,0.524,16.951749034697052
0.0,1.0,0.3293,33.890335209155225
0.0,0.0,0.1286,15.955739148176434
0.0,1.0,0.6546,39.62886288074186
0.0,1.0,0.8385,33.70103139690522
0.0,0.0,0.073,15.926917477159762
1.0,1.0,0.4216,60.850732653317124
1.0,1.0,0.3169,52.14363351096515
1.0,1.0,0.0831,56.88777705871942
0.0,1.0,0.6164,39.81348936182387
0.0,1.0,0.6128,39.091945160334674
1.0,1.0,0.0281,56.870583464000504
1.0,1.0,0.8324,61.21715588162327
0.0,1.0,0.2047,35.31640090776985
0.0,1.0,0.1021,36.76172219697462
1.0,1.0,0.2768,56.72928886623125
1.0,0.0,0.4425,27.15138580858011
1.0,1.0,0.7728,52.19541118245171
1.0,1.0,0.4705,54.31133143822459
0.0,1.0,0.8654,32.225153664854965
1.0,1.0,0.6866,54.79863286837529
1.0,0.0,0.233,29.22912551726612
1.0,0.0,0.0311,29.52180881856686
0.0,0.0,0.5764,18.234291113736553
0.0,1.0,0.3262,34.685380203431336
1.0,1.0,0.551,52.09484916507399
0.0,0.0,0.3317,14.262822263165862
0.0,0.0,0.313,14.246997295200071
1.0,0.0,0.4546,26.82083845042482
1.0,1.0,0.2498,54.99179816029165
0.0,0.0,0.1187,15.615066720151853
1.0,0.0,0.3439,27.85190118844329
0.0,0.0,0.1513,15.709879399829157
1.0,1.0,0.8266,63.20209250285932
0.0,1.0,0.2421,34.7715788174682
1.0,0.0,0.2952,28.21890518677138
0.0,1.0,0.1491,35.69324151904575
1.0,0.0,0.3268,28.022050466228684
0.0,0.0,0.01,15.5974538397631
0.0,0.0,0.3777,14.465141676635916
0.0,0.0,0.6077,18.941101553515345
0.0,1.0,0.2741,34.1023989094439
1.0,1.0,0.5322,49.112057632308286
0.0,0.0,0.4024,13.91566099971853
1.0,1.0,0.4731,54.84121746678902
1.0,1.0,0.8387,64.41129988117525
0.0,1.0,0.4904,36.39730375531249
1.0,1.0,0.0093,56.57697943053256
1.0,1.0,0.4753,54.57176439182102
0.0,1.0,0.9356,30.1389665899785
0.0,1.0,0.2744,35.17381585830288
0.0,0.0,0.1678,15.784158574306293
1.0,0.0,0.834,26.971015653502242
1.0,0.0,0.021,28.93253282287713
1.0,0.0,0.0305,28.906970213154768
0.0,0.0,0.1797,15.760488291500195
1.0,0.0,0.0454,29.497981702881503
0.0,0.0,0.2757,14.908394402983241
0.0,0.0,0.8472,12.988594805811205
1.0,0.0,0.4733,26.679596110284383
1.0,1.0,0.5167,49.71722881917455
1.0,0.0,0.5232,26.41627158792385
0.0,0.0,0.1602,15.562715166675991
0.0,0.0,0.978,11.05097898890731
0.0,1.0,0.5651,38.27400356659762
1.0,0.0,0.1866,29.572515540091338
0.0,1.0,0.2058,35.54491535361998
0.0,0.0,0.4631,15.679361281409518
1.0,0.0,0.8703,28.162373426539816
1.0,1.0,0.4971,52.02718322849793
0.0,0.0,0.8161,14.12885156775332
1.0,0.0,0.5432,26.016859761502875
1.0,0.0,0.5733,26.00976734678209
1.0,1.0,0.7891,58.26623024552947
0.0,1.0,0.0815,36.40100936091773
1.0,0.0,0.8837,28.40081686477159
1.0,0.0,0.2053,29.28121064340784
0.0,1.0,0.9267,31.02869750958526
1.0,1.0,0.9341,45.85098918424092
0.0,1.0,0.0115,35.93986857942718
1.0,1.0,0.3734,58.553912439342035
0.0,0.0,0.8661,12.23202569234492
